Simulation,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
15,30,2,16,Left,6,10,11,10,10,11,9.9866667,10.7933333,9.6666667,10.38,98.8266667
23,15,2,16,Left,5.27,10,11,10,9.85,10.52,9.26,9.95,8.72,9.64,94.21
7,8.7,2,16,Left,2.9866667,10,11,9.8533333,9.4266667,10.0733333,8.6533333,9.4466667,8.5466667,9.3133333,89.3
16,30,2,39.5,Left,6,10,11,9.6066667,8.84,9.56,8.1533333,8.6133333,7.7066667,8.36,87.84
13,30,19.2,16,Left,5.7266667,9.0533333,9.26,8.1,8.2133333,9.06,8.2733333,9.2333333,8.14,8.94,83.9999999
21,15,19.2,16,Left,5.36,8.64,9.1,8.22,8.4,8.92,8.13,9,8.18,9.16,83.11
5,8.7,19.2,16,Left,4.1533333,8.34,9.04,8.2933333,8.2733333,9.1733333,7.8933333,8.9,8.0333333,8.9933333,81.0933331
24,15,2,39.5,Left,5.18,10,10.3,8.52,7.78,8.4,7.28,8,7.22,7.86,80.54
8,8.7,2,39.5,Left,3.0533333,10,9.8533333,8.14,7.72,8.2533333,6.9133333,7.7,6.64,7.62,75.8933332
14,30,19.2,39.5,Left,4.94,6.9266667,7.4133333,6.5733333,6.38,7.3533333,6.6466667,7.0066667,6.5533333,7.1533333,66.9466666
22,15,19.2,39.5,Left,4.33,6.82,7.29,6.58,6.23,7.05,6.39,7.14,6.37,7.14,65.34
6,8.7,19.2,39.5,Left,3.62,6.7666667,7.1666667,6.6133333,6.7733333,7.1333333,6.3466667,7.0533333,6.2066667,7.26,64.94
12,30,2,39.5,Right,0,3.4333333,5.86,4.68,4.3266667,4.48,4,4.1066667,3.62,4.16,38.6666667
11,30,2,16,Right,0,2.04,8.38,6.0733333,5.2866667,4.4666667,3.2666667,3.2933333,2.6533333,3.0266667,38.4866667
20,15,2,39.5,Right,0,1.82,4.61,3.96,3.82,4.16,3.41,3.66,3.52,4,32.96
10,30,19.2,39.5,Right,0.9466667,3.28,3.7733333,3.3133333,3.2533333,3.62,3.3866667,3.6466667,3.3133333,3.7066667,32.24
18,15,19.2,39.5,Right,0.46,3.2,3.76,3.22,3.25,3.74,3.34,3.83,3.36,3.84,32
2,8.7,19.2,39.5,Right,0.3333333,3.0133333,3.7533333,3.2533333,3.6733333,3.7866667,3.1333333,3.5733333,3.0533333,3.76,31.3333331
4,8.7,2,39.5,Right,0,0.6533333,3.6533333,3.2933333,3.8333333,3.94,3.32,3.7,3.1866667,3.8333333,29.4133332
19,15,2,16,Right,0,1.38,6.56,4.48,3.46,3.23,2.48,2.21,2.08,2.39,28.27
3,8.7,2,16,Right,0,0.5933333,5.3,3.5266667,2.82,2.7066667,2.2466667,2.32,1.9933333,1.9133333,23.42
9,30,19.2,16,Right,1.1066667,2.2066667,1.8266667,1.6066667,1.9066667,1.7733333,1.6466667,1.6666667,1.52,1.7933333,17.0533335
17,15,19.2,16,Right,0.81,1.85,1.88,1.56,1.5,1.7,1.64,1.87,1.63,1.82,16.26
1,8.7,19.2,16,Right,0.48,1.91,1.76,1.56,1.88,1.76,1.64,1.66,1.51,1.78,15.94
