Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10
8.7,19.2,16.0,Right,0.76,3.486666666666667,5.013333333333334,4.573333333333333,4.506666666666667,4.966666666666667,4.6866666666666665,5.406666666666667,4.673333333333334,4.986666666666667
8.7,19.2,39.5,Right,0.38,1.9066666666666667,2.66,2.6533333333333333,2.62,3.0333333333333337,2.526666666666667,2.7533333333333334,2.566666666666667,2.6533333333333333
8.7,2.0,16.0,Right,1.3333333333333335,8.746666666666668,10.486666666666668,8.58,7.613333333333334,7.773333333333333,6.306666666666667,6.48,5.753333333333334,6.093333333333334
8.7,2.0,39.5,Right,1.5266666666666668,8.1,7.493333333333334,4.693333333333333,3.7133333333333334,3.9400000000000004,3.3266666666666667,3.4000000000000004,3.1933333333333334,3.1933333333333334
8.7,19.2,16.0,Left,1.22,3.04,3.606666666666667,2.9400000000000004,3.086666666666667,3.3000000000000003,3.12,3.4000000000000004,3.1733333333333333,3.56
8.7,19.2,39.5,Left,0.6333333333333334,1.7933333333333334,2.2133333333333334,2.226666666666667,1.8466666666666667,2.1933333333333334,2.146666666666667,2.3666666666666667,1.9866666666666668,2.3133333333333335
8.7,2.0,16.0,Left,3.206666666666667,9.18,11.0,8.493333333333334,6.433333333333334,5.54,4.693333333333333,4.766666666666667,3.9400000000000004,4.386666666666667
8.7,2.0,39.5,Left,2.746666666666667,8.386666666666667,8.16,4.406666666666667,3.22,3.24,2.7866666666666666,3.046666666666667,2.46,2.766666666666667
30.0,19.2,16.0,Right,4.706666666666667,7.000000000000001,5.32,4.653333333333333,4.606666666666667,4.986666666666667,4.726666666666667,5.446666666666667,4.720000000000001,4.993333333333334
30.0,19.2,39.5,Right,3.6533333333333338,3.1333333333333337,2.966666666666667,2.526666666666667,2.5733333333333337,2.746666666666667,2.5333333333333337,2.8733333333333335,2.546666666666667,2.8800000000000003
30.0,2.0,16.0,Right,5.3533333333333335,4.800000000000001,2.3133333333333335,5.066666666666667,6.886666666666667,8.833333333333334,8.346666666666668,8.66,7.646666666666667,8.146666666666667
30.0,2.0,39.5,Right,4.1000000000000005,5.6000000000000005,3.9066666666666667,3.0733333333333337,3.126666666666667,3.3933333333333335,3.1733333333333333,3.4400000000000004,3.18,3.58
30.0,19.2,16.0,Left,0.0,3.546666666666667,3.8666666666666667,3.226666666666667,3.266666666666667,3.666666666666667,3.22,3.54,3.3800000000000003,3.3733333333333335
30.0,19.2,39.5,Left,3.4333333333333336,3.02,2.4200000000000004,2.2733333333333334,1.8866666666666667,2.22,2.146666666666667,2.3733333333333335,1.9866666666666668,2.3266666666666667
30.0,2.0,16.0,Left,6.0,9.173333333333334,8.286666666666667,8.526666666666667,8.246666666666668,8.360000000000001,7.140000000000001,7.046666666666667,5.880000000000001,6.286666666666667
30.0,2.0,39.5,Left,5.986666666666667,7.826666666666667,6.026666666666667,4.206666666666667,3.626666666666667,3.766666666666667,3.3666666666666667,3.4533333333333336,3.0333333333333337,3.3000000000000003
15.0,19.2,16.0,Right,1.8333333333333335,5.506666666666667,5.106666666666667,4.593333333333334,4.5600000000000005,4.966666666666667,4.7,5.413333333333334,4.673333333333334,4.986666666666667
15.0,19.2,39.5,Right,1.4000000000000001,2.8466666666666667,2.7133333333333334,2.6933333333333334,2.626666666666667,3.066666666666667,2.526666666666667,2.7533333333333334,2.566666666666667,2.666666666666667
15.0,2.0,16.0,Right,5.433333333333334,8.953333333333333,5.146666666666667,6.533333333333334,7.566666666666667,8.1,7.0200000000000005,7.113333333333334,6.32,6.513333333333334
15.0,2.0,39.5,Right,5.026666666666667,8.273333333333333,5.006666666666667,4.3133333333333335,3.4200000000000004,4.113333333333333,3.4066666666666667,3.4533333333333336,3.18,3.3666666666666667
15.0,19.2,16.0,Left,2.586666666666667,4.16,3.7133333333333334,2.9600000000000004,3.106666666666667,3.306666666666667,3.1333333333333337,3.4133333333333336,3.18,3.5733333333333337
15.0,19.2,39.5,Left,2.14,2.466666666666667,2.2933333333333334,2.24,1.82,2.22,2.14,2.3666666666666667,1.9866666666666668,2.3133333333333335
15.0,2.0,16.0,Left,5.286666666666667,10.0,10.4,8.780000000000001,7.333333333333334,6.66,5.666666666666667,5.5600000000000005,4.526666666666667,5.033333333333333
15.0,2.0,39.5,Left,5.126666666666667,9.5,6.913333333333334,4.28,3.2533333333333334,3.4333333333333336,2.9733333333333336,3.246666666666667,2.6733333333333333,2.9400000000000004
