Simulatiom,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
7,8.7,2,16,Left,5.366666667,6.22,2.48,3.773333333,4.58,5.113333333,3.946666667,3.886666667,3.24,3.286666667,41.89333333
9,30,19.2,16,Right,0.026666667,2.986666667,4.406666667,3.973333333,3.953333333,4.293333333,3.953333333,4.073333333,3.653333333,4.433333333,35.75333333
17,15,19.2,16,Right,0.2,2.966666667,3.873333333,3.913333333,3.64,4.1,3.8,3.9,3.586666667,4.26,34.24
1,8.7,19.2,16,Right,0.34,1.88,3.67,3.86,3.58,4.12,3.8,3.9,3.56,4.25,32.96
13,30,19.2,16,Left,4.593333333,5.106666667,3.54,2.606666667,2.313333333,2.42,2.226666667,2.42,2.06,2.293333333,29.58
21,15,19.2,16,Left,4.626666667,5.493333333,3.066666667,2.22,2.046666667,2.4,2.093333333,2.2,1.966666667,1.986666667,28.1
3,8.7,2,16,Right,0,0.13,0.51,1.36,3,3.88,4.23,4.54,4.03,4.74,26.42
23,15,2,16,Left,5.546666667,1.013333333,0,0.08,0.986666667,2.226666667,3.06,4.073333333,3.926666667,4.42,25.33333333
8,8.7,2,39.5,Left,4.58,5.92,3.88,2.58,1.766666667,1.56,1.226666667,1.106666667,0.98,1.026666667,24.62666667
24,15,2,39.5,Left,4.573333333,1.96,1.4,2.253333333,2.173333333,2.486666667,2.233333333,2.12,1.733333333,1.8,22.73333333
19,15,2,16,Right,0,0,0,0.693333333,1.953333333,2.906666667,3.7,4.18,4.053333333,4.606666667,22.09333333
5,8.7,19.2,16,Left,2.19,2.86,2.2,2.05,1.78,2.03,1.9,2.16,1.96,2.13,21.26
4,8.7,2,39.5,Right,0,0.39,2.65,3,2.3,2.23,1.88,1.75,1.46,1.77,17.43
20,15,2,39.5,Right,0,0.26,1.946666667,2.28,2.606666667,2.366666667,1.933333333,1.793333333,1.586666667,1.766666667,16.54
18,15,19.2,39.5,Right,0.7,2.673333333,1.533333333,1.446666667,1.753333333,1.466666667,1.606666667,1.326666667,1.326666667,1.6,15.43333333
10,30,19.2,39.5,Right,0.706666667,2.44,1.513333333,1.513333333,1.426666667,1.74,1.44,1.66,1.34,1.646666667,15.42666667
2,8.7,19.2,39.5,Right,0.34,0.8,1.54,1.53,1.46,1.73,1.46,1.59,1.32,1.58,13.35
14,30,19.2,39.5,Left,3.766666667,1.98,1.053333333,0.78,0.646666667,0.786666667,0.733333333,0.733333333,0.74,0.766666667,11.98666667
12,30,2,39.5,Right,0.093333333,0,0,0.126666667,0.993333333,1.72,1.92,2.16,1.98,2.506666667,11.5
22,15,19.2,39.5,Left,2.926666667,1.78,0.766666667,0.533333333,0.68,0.833333333,0.773333333,0.686666667,0.593333333,0.64,10.21333333
6,8.7,19.2,39.5,Left,1.11,0.96,0.78,0.71,0.6,0.8,0.67,0.71,0.74,0.75,7.83
15,30,2,16,Left,3.02,0,0,0,0,0,0.08,0.76,1.393333333,1.973333333,7.226666667
16,30,2,39.5,Left,3.02,0,0,0,0,0,0.08,0.76,1.393333333,1.973333333,7.226666667
11,30,2,16,Right,0.04,0,0,0,0,0,0,0.113333333,0.513333333,1.02,1.686666667
