Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10
8.7,19.2,16.0,Right,0.0,3.56,5.733333333333333,5.220000000000001,5.213333333333334,5.733333333333333,4.973333333333334,5.24,4.946666666666667,5.7
8.7,19.2,39.5,Right,0.0,2.686666666666667,4.266666666666667,3.9200000000000004,3.5933333333333337,4.086666666666667,3.62,4.220000000000001,3.8733333333333335,4.113333333333333
8.7,2.0,16.0,Right,0.0,0.0,0.5133333333333334,1.4200000000000002,2.3866666666666667,3.226666666666667,3.6933333333333334,4.5200000000000005,4.24,4.8533333333333335
8.7,2.0,39.5,Right,0.0,0.060000000000000005,3.3733333333333335,4.273333333333333,4.333333333333334,4.733333333333333,4.026666666666667,4.640000000000001,4.086666666666667,4.453333333333334
8.7,19.2,16.0,Left,0.0,3.8133333333333335,5.640000000000001,5.233333333333333,5.193333333333333,5.846666666666667,5.340000000000001,5.66,5.053333333333334,5.640000000000001
8.7,19.2,39.5,Left,0.0,2.486666666666667,3.3466666666666667,2.9200000000000004,3.1733333333333333,3.246666666666667,3.066666666666667,3.3533333333333335,2.9933333333333336,3.3533333333333335
8.7,2.0,16.0,Left,0.0,0.0,0.0,1.5066666666666668,3.4533333333333336,4.993333333333334,4.760000000000001,5.300000000000001,4.953333333333334,5.453333333333334
8.7,2.0,39.5,Left,0.0,0.0,2.46,3.646666666666667,4.140000000000001,4.246666666666667,3.786666666666667,3.8666666666666667,3.466666666666667,3.9266666666666667
30.0,19.2,16.0,Right,0.0,2.986666666666667,5.566666666666667,5.186666666666667,5.173333333333334,5.746666666666667,4.94,5.226666666666667,4.9,5.713333333333334
30.0,19.2,39.5,Right,0.13333333333333333,3.66,4.300000000000001,4.140000000000001,3.68,4.293333333333334,3.826666666666667,4.213333333333334,3.8533333333333335,4.193333333333333
30.0,2.0,16.0,Right,0.0,5.2,8.686666666666667,4.933333333333334,3.1133333333333337,2.166666666666667,1.6533333333333335,2.3400000000000003,2.3533333333333335,2.8533333333333335
30.0,2.0,39.5,Right,0.0,3.64,5.586666666666667,5.206666666666667,5.220000000000001,5.786666666666667,5.3133333333333335,5.66,5.073333333333333,5.62
30.0,19.2,16.0,Left,0.0,3.806666666666667,5.613333333333333,5.293333333333334,5.180000000000001,5.586666666666667,5.326666666666667,5.633333333333334,5.04,5.673333333333334
30.0,19.2,39.5,Left,0.29333333333333333,3.3933333333333335,3.466666666666667,3.0333333333333337,3.24,3.286666666666667,3.086666666666667,3.3866666666666667,3.026666666666667,3.3733333333333335
30.0,2.0,16.0,Left,0.0,0.8266666666666668,2.7133333333333334,1.4733333333333334,1.7533333333333334,2.64,2.8600000000000003,3.9533333333333336,4.106666666666667,4.566666666666667
30.0,2.0,39.5,Left,0.0,2.1733333333333333,4.966666666666667,5.16,5.093333333333334,5.300000000000001,4.673333333333334,4.86,4.140000000000001,4.653333333333333
15.0,19.2,16.0,Right,0.0,3.4200000000000004,5.693333333333333,5.220000000000001,5.173333333333334,5.733333333333333,4.973333333333334,5.233333333333333,4.946666666666667,5.7
15.0,19.2,39.5,Right,0.08,3.206666666666667,4.34,3.9333333333333336,3.5933333333333337,4.093333333333334,3.646666666666667,4.226666666666667,3.8800000000000003,4.113333333333333
15.0,2.0,16.0,Right,0.0,1.0466666666666666,5.8533333333333335,3.466666666666667,2.4333333333333336,2.9000000000000004,2.98,3.8866666666666667,3.68,4.486666666666667
15.0,2.0,39.5,Right,0.0,1.7266666666666668,5.973333333333334,5.066666666666667,5.220000000000001,5.053333333333334,4.5200000000000005,5.073333333333333,4.34,4.66
15.0,19.2,16.0,Left,0.0,3.7533333333333334,5.646666666666667,5.260000000000001,5.186666666666667,5.846666666666667,5.333333333333334,5.66,5.066666666666667,5.626666666666667
15.0,19.2,39.5,Left,0.06666666666666667,2.8266666666666667,3.3533333333333335,2.9266666666666667,3.2333333333333334,3.246666666666667,3.0733333333333337,3.3666666666666667,3.0133333333333336,3.3533333333333335
15.0,2.0,16.0,Left,0.0,0.0,0.6000000000000001,1.22,2.666666666666667,4.32,4.193333333333333,4.926666666666667,4.926666666666667,5.226666666666667
15.0,2.0,39.5,Left,0.0,0.39333333333333337,3.9066666666666667,4.326666666666667,4.726666666666667,4.706666666666667,4.206666666666667,4.24,3.826666666666667,4.1466666666666665
