Simulation,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
11,30,2,16,Right,3.986666667,10,11,10,10,11,10,10.9,9.486666667,9.98,96.35333333
15,30,2,16,Left,2.5,10,11,10,10,11,9.92,10.24,8.606666667,9.026666667,92.29333333
16,30,2,39.5,Left,2.5,10,11,10,10,11,9.92,10.24,8.606666667,9.026666667,92.29333333
12,30,2,39.5,Right,3.886666667,10,11,9.873333333,9.006666667,9.28,8.08,8.84,8.02,8.493333333,86.48
18,15,19.2,39.5,Right,0.526666667,7.286666667,9.106666667,8.233333333,8.346666667,9.086666667,8.313333333,9.22,8.56,9.206666667,77.88666667
2,8.7,19.2,39.5,Right,0.28,7,9.16,8.23,8.3,9.1,8.32,9.2,8.56,9.23,77.38
10,30,19.2,39.5,Right,1.566666667,6.24,8.88,8.133333333,8.32,9.093333333,8.293333333,9.18,8.54,9.126666667,77.37333333
20,15,2,39.5,Right,1.306666667,8.753333333,8.906666667,7.633333333,7.22,8.306666667,7.813333333,8.88,8.093333333,8.94,75.85333333
23,15,2,16,Left,0.013333333,8.966666667,11,9.92,9.013333333,8.773333333,6.94,6.926666667,6.073333333,6.58,74.20666667
19,15,2,16,Right,1.56,9.966666667,11,9.306666667,8.046666667,8.086666667,6.26,6.686666667,5.833333333,6.126666667,72.87333333
24,15,2,39.5,Left,0.206666667,7.986666667,9.6,7.746666667,7.826666667,8.453333333,7.46,7.953333333,6.913333333,7.18,71.32666667
4,8.7,2,39.5,Right,0,5.3,7.56,6.52,7.16,8.16,7.76,8.9,8.3,8.96,68.62
5,8.7,19.2,16,Left,0,4.88,7.8,6.9,7.26,7.72,7.16,7.78,6.98,7.8,64.28
13,30,19.2,16,Left,0.753333333,4.793333333,7.3,6.96,7.08,7.74,7.046666667,7.713333333,7.106666667,7.74,64.23333333
21,15,19.2,16,Left,0.066666667,3.82,7.266666667,7.046666667,7.18,7.706666667,7.013333333,7.86,7.086666667,7.873333333,62.92
3,8.7,2,16,Right,0,6.72,10.07,8.4,6.9,6.9,5.48,6.08,5.72,5.92,62.19
7,8.7,2,16,Left,0,3.64,8.52,6.226666667,5.406666667,5.853333333,6.046666667,7.106666667,6.68,7.46,56.94
9,30,19.2,16,Right,1.986666667,5.146666667,5.893333333,5.673333333,5.82,6.526666667,5.833333333,6.673333333,6.213333333,6.406666667,56.17333333
17,15,19.2,16,Right,0.233333333,3.913333333,6.513333333,5.9,6.193333333,6.72,6.006666667,6.893333333,6.293333333,6.56,55.22666667
1,8.7,19.2,16,Right,0,3.13,6.6,5.97,6.26,6.71,6.01,6.9,6.32,6.56,54.46
8,8.7,2,39.5,Left,0,3.733333333,7.093333333,6.64,6.306666667,6.506666667,5.826666667,6.186666667,5.293333333,6.053333333,53.64
14,30,19.2,39.5,Left,1.393333333,5.406666667,5.893333333,5.133333333,5.193333333,5.473333333,5.013333333,5.493333333,4.706666667,5.473333333,49.18
22,15,19.2,39.5,Left,0.453333333,4.433333333,5.646666667,5.093333333,5.006666667,5.22,4.86,5.26,4.873333333,5.406666667,46.25333333
6,8.7,19.2,39.5,Left,0.086,4.09,5.18,4.87,4.98,5.17,4.93,5.36,4.63,5.4,44.696
