Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10
8.7,19.2,16.0,Right,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,19.2,39.5,Right,0.0,0.09333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,16.0,Right,0.0,0.14666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,39.5,Right,0.3066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,19.2,16.0,Left,0.06666666666666667,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,19.2,39.5,Left,0.09333333333333334,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,16.0,Left,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,39.5,Left,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,16.0,Right,0.11333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,39.5,Right,0.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,16.0,Right,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,39.5,Right,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,16.0,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,39.5,Left,0.05333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,16.0,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,39.5,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,16.0,Right,0.2,0.15333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,39.5,Right,0.10666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,16.0,Right,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,39.5,Right,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,16.0,Left,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,39.5,Left,0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,16.0,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,39.5,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
