Simulation,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
10,30,19.2,39.5,Right,1.153333333,0.233333333,0.206666667,0.04,0,0,0,0,0,0,1.633333333
4,8.7,2,39.5,Right,0.03,0.81,0.05,0.08,0.12,0.15,0.1,0.12,0.047,0.013,1.52
9,30,19.2,16,Right,1.206666667,0.026666667,0,0,0,0,0,0,0,0,1.233333333
17,15,19.2,16,Right,0.513333333,0.62,0.033333333,0,0,0,0,0,0,0,1.166666667
1,8.7,19.2,16,Right,0.1,0.78,0.19,0,0,0,0,0,0,0,1.07
18,15,19.2,39.5,Right,0.406666667,0.393333333,0.093333333,0,0,0,0,0,0,0,0.893333333
22,15,19.2,39.5,Left,0.12,0.34,0.146666667,0.033333333,0.02,0,0,0,0,0,0.66
14,30,19.2,39.5,Left,0.173333333,0.12,0.073333333,0.04,0,0,0,0,0,0,0.406666667
3,8.7,2,16,Right,0.04,0.36,0,0,0,0,0,0,0,0,0.4
2,8.7,19.2,39.5,Right,0.08,0.14,0.07,0,0,0,0,0,0,0,0.29
21,15,19.2,16,Left,0.12,0.153333333,0,0,0,0,0,0,0,0,0.273333333
13,30,19.2,16,Left,0.226666667,0,0,0,0,0,0,0,0,0,0.226666667
5,8.7,19.2,16,Left,0,0.2,0.02,0,0,0,0,0,0,0,0.22
8,8.7,2,39.5,Left,0,0,0.013333333,0.046666667,0.033333333,0.033333333,0.006666667,0,0.006666667,0.046666667,0.186666667
24,15,2,39.5,Left,0.186666667,0,0,0,0,0,0,0,0,0,0.186666667
20,15,2,39.5,Right,0.126666667,0,0,0,0,0.013333333,0.02,0.013333333,0,0,0.173333333
6,8.7,19.2,39.5,Left,0.03,0.086,0.053,0,0,0,0,0,0,0,0.169
12,30,2,39.5,Right,0.106666667,0,0,0,0,0,0,0,0,0,0.106666667
15,30,2,16,Left,0.106666667,0,0,0,0,0,0,0,0,0,0.106666667
16,30,2,39.5,Left,0.106666667,0,0,0,0,0,0,0,0,0,0.106666667
19,15,2,16,Right,0.04,0,0,0,0,0,0,0,0,0,0.04
11,30,2,16,Right,0.033333333,0,0,0,0,0,0,0,0,0,0.033333333
7,8.7,2,16,Left,0,0.026666667,0,0,0,0,0,0,0,0,0.026666667
23,15,2,16,Left,0.02,0,0,0,0,0,0,0,0,0,0.02
