Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10
8.7,19.2,16.0,Right,5.206666666666667,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,19.2,39.5,Right,5.453333333333334,1.8733333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,16.0,Right,4.66,0.7266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,39.5,Right,4.446666666666667,1.2133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,19.2,16.0,Left,4.526666666666667,0.9266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,19.2,39.5,Left,5.0,1.1733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,16.0,Left,2.7533333333333334,0.18666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,2.0,39.5,Left,3.1333333333333337,0.3866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,16.0,Right,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,39.5,Right,1.0866666666666667,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,16.0,Right,0.48000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,39.5,Right,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,16.0,Left,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,19.2,39.5,Left,0.37333333333333335,0.07333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,16.0,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,2.0,39.5,Left,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,16.0,Right,3.2,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,39.5,Right,4.053333333333334,0.8066666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,16.0,Right,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,39.5,Right,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,16.0,Left,2.2933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,19.2,39.5,Left,2.7933333333333334,0.39333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,16.0,Left,0.7066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,2.0,39.5,Left,0.8600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
