Simulation,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
1,8.7,19.2,16,Right,5.52,3.68,0.12,0,0,0,0,0,0,0,9.32
4,8.7,2,39.5,Right,5.96,2.72,0.02,0.02,0.06,0.046,0.006,0,0.006,0,8.838
3,8.7,2,16,Right,5.96,2.6,0,0,0,0,0,0,0,0,8.56
2,8.7,19.2,39.5,Right,5.23,1.7,0.06,0,0,0,0,0,0,0,6.99
17,15,19.2,16,Right,4.546666667,0.646666667,0,0,0,0,0,0,0,0,5.193333333
6,8.7,19.2,39.5,Left,4.21,0.83,0.06,0,0,0,0,0,0,0,5.1
5,8.7,19.2,16,Left,3.36,1.3,0.04,0,0,0,0,0,0,0,4.7
20,15,2,39.5,Right,4.54,0.093333333,0,0,0,0,0,0,0,0,4.633333333
18,15,19.2,39.5,Right,4.02,0.56,0,0,0,0,0,0,0,0,4.58
19,15,2,16,Right,4.413333333,0,0,0,0,0,0,0,0,0,4.413333333
22,15,19.2,39.5,Left,2.146666667,0.246666667,0.073333333,0.02,0,0,0,0,0,0,2.486666667
10,30,19.2,39.5,Right,1.946666667,0.16,0.033333333,0,0,0,0,0,0,0,2.14
9,30,19.2,16,Right,2.08,0,0,0,0,0,0,0,0,0,2.08
11,30,2,16,Right,1.933333333,0,0,0,0,0,0,0,0,0,1.933333333
8,8.7,2,39.5,Left,1.413333333,0.333333333,0.013333333,0.053333333,0.08,0.013333333,0,0,0,0,1.906666667
12,30,2,39.5,Right,1.9,0,0,0,0,0,0,0,0,0,1.9
21,15,19.2,16,Left,1.166666667,0.1,0.046666667,0,0,0,0,0,0,0,1.313333333
24,15,2,39.5,Left,1.04,0,0,0,0,0,0,0,0,0,1.04
7,8.7,2,16,Left,0.633333333,0.086666667,0,0,0,0,0,0,0,0,0.72
14,30,19.2,39.5,Left,0.6,0.1,0,0,0,0,0,0,0,0,0.7
13,30,19.2,16,Left,0.426666667,0,0,0,0,0,0,0,0,0,0.426666667
23,15,2,16,Left,0.413333333,0,0,0,0,0,0,0,0,0,0.413333333
15,30,2,16,Left,0.326666667,0,0,0,0,0,0,0,0,0,0.326666667
16,30,2,39.5,Left,0.326666667,0,0,0,0,0,0,0,0,0,0.326666667
