Sim,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,sum
4,8.7,2,39.5,Right,4.9933333,0.8066667,0.02,0,0,0,0,0,0,0,5.82
3,8.7,2,16,Right,4.66,0.9,0,0,0,0,0,0,0,0,5.56
2,8.7,19.2,39.5,Right,3.14,0.12,0,0,0,0,0,0,0,0,3.26
1,8.7,19.2,16,Right,3,0,0,0,0,0,0,0,0,0,3
17,15,19.2,16,Right,2.46,0,0,0,0,0,0,0,0,0,2.46
18,15,19.2,39.5,Right,1.78,0.027,0,0,0,0,0,0,0,0,1.807
20,15,2,39.5,Right,1.72,0.03,0,0,0,0,0,0,0,0,1.75
19,15,2,16,Right,1.52,0,0,0,0,0,0,0,0,0,1.52
10,30,19.2,39.5,Right,0.6066667,0,0,0,0,0,0,0,0,0,0.6066667
7,8.7,2,16,Left,0.4866667,0,0,0,0,0,0,0,0,0,0.4866667
8,8.7,2,39.5,Left,0.4733333,0,0,0,0,0,0,0,0,0,0.4733333
6,8.7,19.2,39.5,Left,0.32,0,0,0,0,0,0,0,0,0,0.32
5,8.7,19.2,16,Left,0.2666667,0,0,0,0,0,0,0,0,0,0.2666667
9,30,19.2,16,Right,0.2266667,0,0,0,0,0,0,0,0,0,0.2266667
12,30,2,39.5,Right,0.1,0.0133333,0,0,0,0,0,0,0,0,0.1133333
11,30,2,16,Right,0.00666667,0.02,0,0,0,0,0,0,0,0,0.02666667
13,30,19.2,16,Left,0,0,0,0,0,0,0,0,0,0,0
14,30,19.2,39.5,Left,0,0,0,0,0,0,0,0,0,0,0
15,30,2,16,Left,0,0,0,0,0,0,0,0,0,0,0
16,30,2,39.5,Left,0,0,0,0,0,0,0,0,0,0,0
21,15,19.2,16,Left,0,0,0,0,0,0,0,0,0,0,0
22,15,19.2,39.5,Left,0,0,0,0,0,0,0,0,0,0,0
23,15,2,16,Left,0,0,0,0,0,0,0,0,0,0,0
24,15,2,39.5,Left,0,0,0,0,0,0,0,0,0,0,0
