Simulation,Flow Rate,Velocity,Half Cone angle,Input,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Sum
6,8.7,19.2,39.5,Left,0.4,3.85,4.82,4.31,4.3,4.9,4.25,4.73,4.45,4.73,40.74
22,15,19.2,39.5,Left,0.066666667,2.813333333,4.173333333,4.14,4.2,4.733333333,4.24,4.893333333,4.426666667,4.773333333,38.46
14,30,19.2,39.5,Left,0,2.06,3.846666667,3.92,4,4.58,4.106666667,4.546666667,4.366666667,4.626666667,36.05333333
8,8.7,2,39.5,Left,0,0,0,0.526666667,1.646666667,2.666666667,2.773333333,3.526666667,3.573333333,3.786666667,18.5
5,8.7,19.2,16,Left,0,0.43,0.9,1.05,0.96,1.24,1.53,1.05,1.05,1.07,9.28
21,15,19.2,16,Left,0,0,0.38,0.706666667,0.773333333,0.893333333,0.893333333,0.94,0.946666667,1.14,6.673333333
13,30,19.2,16,Left,0,0,0.093333333,0.413333333,0.606666667,0.84,0.726666667,0.866666667,0.833333333,0.966666667,5.346666667
24,15,2,39.5,Left,0,0,0,0,0,0.06,0.306666667,0.926666667,1.346666667,2.013333333,4.653333333
7,8.7,2,16,Left,0,0,0,0,0,0,0,0,0.086,0.25,0.336
2,8.7,19.2,39.5,Right,0,0.046,0.01,0.04,0.04,0.046,0.01,0.033,0.033,0.04,0.298
18,15,19.2,39.5,Right,0,0.026666667,0.013333333,0.04,0.04,0.046666667,0.013333333,0.033333333,0.033333333,0.04,0.286666667
10,30,19.2,39.5,Right,0,0,0.006666667,0.006666667,0.026666667,0.033333333,0.013333333,0.026666667,0.033333333,0.04,0.186666667
4,8.7,2,39.5,Right,0.02,0,0,0,0,0,0,0,0,0,0.02
9,30,19.2,16,Right,0.006666667,0,0,0,0,0,0,0,0,0,0.006666667
17,15,19.2,16,Right,0,0.006666667,0,0,0,0,0,0,0,0,0.006666667
1,8.7,19.2,16,Right,0,0,0,0,0,0,0,0,0,0,0
3,8.7,2,16,Right,0,0,0,0,0,0,0,0,0,0,0
11,30,2,16,Right,0,0,0,0,0,0,0,0,0,0,0
12,30,2,39.5,Right,0,0,0,0,0,0,0,0,0,0,0
15,30,2,16,Left,0,0,0,0,0,0,0,0,0,0,0
16,30,2,39.5,Left,0,0,0,0,0,0,0,0,0,0,0
19,15,2,16,Right,0,0,0,0,0,0,0,0,0,0,0
20,15,2,39.5,Right,0,0,0,0,0,0,0,0,0,0,0
23,15,2,16,Left,0,0,0,0,0,0,0,0,0,0,0
